combo_id,combo_label,condition,fold,epoch,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1_macro,val_f1_weighted,is_best_epoch
5,"ng=[1, 2, 3]_f=128_dr=0.5_gelu",S1,3,5,0.1365,0.4709,0.8692,0.8642,0.8669,0.8652,0.8696,False
5,"ng=[1, 2, 3]_f=128_dr=0.5_gelu",S1,4,1,0.8254,0.4911,0.8023,0.8011,0.7982,0.7952,0.7992,False
5,"ng=[1, 2, 3]_f=128_dr=0.5_gelu",S1,4,2,0.4241,0.4089,0.8296,0.8256,0.8288,0.8259,0.8294,True
5,"ng=[1, 2, 3]_f=128_dr=0.5_gelu",S1,4,3,0.2956,0.4541,0.8296,0.8256,0.8279,0.8266,0.8298,False
5,"ng=[1, 2, 3]_f=128_dr=0.5_gelu",S1,4,4,0.202,0.5414,0.8239,0.8202,0.8204,0.8203,0.824,False
5,"ng=[1, 2, 3]_f=128_dr=0.5_gelu",S1,4,5,0.1297,0.6553,0.8277,0.8245,0.8287,0.8253,0.8286,False
5,"ng=[1, 2, 3]_f=128_dr=0.5_gelu",S1,5,1,0.7964,0.4814,0.8164,0.8178,0.8208,0.815,0.8183,False
5,"ng=[1, 2, 3]_f=128_dr=0.5_gelu",S1,5,2,0.4066,0.4355,0.8399,0.8347,0.8368,0.8355,0.8405,True
5,"ng=[1, 2, 3]_f=128_dr=0.5_gelu",S1,5,3,0.29,0.5162,0.8173,0.8165,0.8137,0.8132,0.8181,False
5,"ng=[1, 2, 3]_f=128_dr=0.5_gelu",S1,5,4,0.2021,0.5554,0.8183,0.817,0.8162,0.8144,0.8197,False
5,"ng=[1, 2, 3]_f=128_dr=0.5_gelu",S1,5,5,0.1306,0.6996,0.8286,0.8242,0.8217,0.8225,0.8276,False
6,"ng=[1, 2, 3]_f=128_dr=0.5_elu",S1,1,1,0.7918,0.4497,0.8231,0.8212,0.8233,0.8212,0.8244,False
6,"ng=[1, 2, 3]_f=128_dr=0.5_elu",S1,1,2,0.4283,0.4203,0.8354,0.8409,0.8376,0.8342,0.838,True
6,"ng=[1, 2, 3]_f=128_dr=0.5_elu",S1,1,3,0.3003,0.4356,0.8495,0.8474,0.8438,0.843,0.8471,False
6,"ng=[1, 2, 3]_f=128_dr=0.5_elu",S1,1,4,0.2017,0.4713,0.8476,0.8449,0.8424,0.8431,0.8465,False
6,"ng=[1, 2, 3]_f=128_dr=0.5_elu",S1,1,5,0.1376,0.5722,0.8467,0.847,0.8404,0.8429,0.8458,False
6,"ng=[1, 2, 3]_f=128_dr=0.5_elu",S1,2,1,0.7839,0.4806,0.8166,0.8231,0.8048,0.8092,0.8133,False
6,"ng=[1, 2, 3]_f=128_dr=0.5_elu",S1,2,2,0.4235,0.4057,0.8532,0.8544,0.8453,0.8477,0.8513,False
6,"ng=[1, 2, 3]_f=128_dr=0.5_elu",S1,2,3,0.3122,0.3772,0.8627,0.8595,0.8646,0.8604,0.8632,True
6,"ng=[1, 2, 3]_f=128_dr=0.5_elu",S1,2,4,0.2175,0.4535,0.841,0.84,0.8376,0.8376,0.8419,False
6,"ng=[1, 2, 3]_f=128_dr=0.5_elu",S1,2,5,0.1449,0.5241,0.8457,0.8429,0.8432,0.8425,0.8467,False
6,"ng=[1, 2, 3]_f=128_dr=0.5_elu",S1,2,6,0.083,0.6425,0.8467,0.8446,0.846,0.8443,0.8478,False
6,"ng=[1, 2, 3]_f=128_dr=0.5_elu",S1,3,1,0.7968,0.4105,0.8373,0.836,0.8391,0.8353,0.839,False
