combo_id,combo_label,condition,fold,epoch,train_loss,val_loss,train_f1,val_accuracy,val_precision,val_recall,val_f1_macro,val_f1_weighted,is_best_epoch
4,lb=1e-05_lc=1e-03_bs=32,S1,2,5,0.1045,0.8357,0.9671,0.8467,0.8431,0.8461,0.8443,0.8469,False
4,lb=1e-05_lc=1e-03_bs=32,S1,2,6,0.053,1.2208,0.9842,0.8382,0.8373,0.834,0.8355,0.8379,False
4,lb=1e-05_lc=1e-03_bs=32,S1,3,1,0.6461,0.4214,0.7237,0.8316,0.8267,0.8301,0.8278,0.8318,False
4,lb=1e-05_lc=1e-03_bs=32,S1,3,2,0.3962,0.4036,0.8554,0.8457,0.8453,0.8503,0.8444,0.8468,True
4,lb=1e-05_lc=1e-03_bs=32,S1,3,3,0.2604,0.4875,0.9069,0.8448,0.8451,0.8491,0.8435,0.8463,False
4,lb=1e-05_lc=1e-03_bs=32,S1,3,4,0.1543,0.6899,0.9461,0.8448,0.8452,0.8378,0.8404,0.8449,False
4,lb=1e-05_lc=1e-03_bs=32,S1,3,5,0.086,0.7678,0.9723,0.8608,0.8567,0.8581,0.8573,0.8611,False
4,lb=1e-05_lc=1e-03_bs=32,S1,4,1,0.6332,0.4381,0.7344,0.842,0.8386,0.8403,0.8379,0.8413,False
4,lb=1e-05_lc=1e-03_bs=32,S1,4,2,0.4069,0.4366,0.8419,0.8438,0.8462,0.8383,0.8382,0.8418,True
4,lb=1e-05_lc=1e-03_bs=32,S1,4,3,0.2681,0.457,0.9007,0.842,0.8432,0.8425,0.838,0.8415,False
4,lb=1e-05_lc=1e-03_bs=32,S1,4,4,0.1685,0.5259,0.9384,0.8579,0.8563,0.8613,0.8561,0.8587,False
4,lb=1e-05_lc=1e-03_bs=32,S1,4,5,0.0931,0.6856,0.9685,0.8354,0.8336,0.8371,0.8335,0.8368,False
4,lb=1e-05_lc=1e-03_bs=32,S1,5,1,0.6264,0.499,0.735,0.8109,0.8143,0.7987,0.8033,0.8086,False
4,lb=1e-05_lc=1e-03_bs=32,S1,5,2,0.3948,0.401,0.8477,0.8429,0.8408,0.8411,0.84,0.8438,True
4,lb=1e-05_lc=1e-03_bs=32,S1,5,3,0.2576,0.45,0.9064,0.8523,0.8475,0.8489,0.8481,0.8526,False
4,lb=1e-05_lc=1e-03_bs=32,S1,5,4,0.1589,0.6376,0.9465,0.841,0.8392,0.8402,0.8386,0.8419,False
4,lb=1e-05_lc=1e-03_bs=32,S1,5,5,0.099,0.7012,0.9678,0.8551,0.8515,0.8539,0.8525,0.8555,False
5,lb=2e-05_lc=1e-04_bs=16,S1,1,1,0.7275,0.4484,0.6737,0.8308,0.8334,0.822,0.8254,0.8292,True
5,lb=2e-05_lc=1e-04_bs=16,S1,1,2,0.4019,0.4865,0.853,0.8318,0.8343,0.8224,0.8236,0.8282,False
5,lb=2e-05_lc=1e-04_bs=16,S1,1,3,0.2278,0.5329,0.9254,0.8477,0.8445,0.8466,0.8445,0.848,False
5,lb=2e-05_lc=1e-04_bs=16,S1,1,4,0.1307,0.6814,0.9612,0.8496,0.8452,0.8474,0.8459,0.8499,False
5,lb=2e-05_lc=1e-04_bs=16,S1,2,1,0.6986,0.4459,0.6968,0.8128,0.8156,0.8184,0.8101,0.8125,True
5,lb=2e-05_lc=1e-04_bs=16,S1,2,2,0.3878,0.4625,0.8602,0.8354,0.8342,0.83,0.8292,0.833,False
5,lb=2e-05_lc=1e-04_bs=16,S1,2,3,0.235,0.5592,0.9279,0.8438,0.8418,0.8471,0.8427,0.8445,False
5,lb=2e-05_lc=1e-04_bs=16,S1,2,4,0.1263,0.7785,0.9638,0.8467,0.8472,0.8426,0.8445,0.8466,False
5,lb=2e-05_lc=1e-04_bs=16,S1,3,1,0.6938,0.4677,0.6937,0.8354,0.8348,0.8384,0.8335,0.8371,False
5,lb=2e-05_lc=1e-04_bs=16,S1,3,2,0.3933,0.4175,0.8571,0.8504,0.8476,0.8459,0.8446,0.8488,True
5,lb=2e-05_lc=1e-04_bs=16,S1,3,3,0.2236,0.5527,0.926,0.8457,0.8445,0.8379,0.839,0.8435,False
5,lb=2e-05_lc=1e-04_bs=16,S1,3,4,0.1325,0.7064,0.9581,0.8608,0.8565,0.8599,0.8574,0.8608,False
5,lb=2e-05_lc=1e-04_bs=16,S1,3,5,0.055,1.0226,0.9857,0.8429,0.841,0.8354,0.8371,0.8414,False
5,lb=2e-05_lc=1e-04_bs=16,S1,4,1,0.6991,0.4281,0.6868,0.8288,0.8243,0.8265,0.8252,0.8293,False
5,lb=2e-05_lc=1e-04_bs=16,S1,4,2,0.3995,0.4189,0.8535,0.841,0.8365,0.8379,0.8362,0.8408,True
5,lb=2e-05_lc=1e-04_bs=16,S1,4,3,0.2353,0.5723,0.9201,0.8335,0.8314,0.8281,0.8292,0.8334,False
5,lb=2e-05_lc=1e-04_bs=16,S1,4,4,0.1324,0.7076,0.9645,0.8504,0.8465,0.8469,0.8459,0.85,False
5,lb=2e-05_lc=1e-04_bs=16,S1,4,5,0.0781,0.846,0.9812,0.8495,0.8453,0.8462,0.8454,0.8495,False
5,lb=2e-05_lc=1e-04_bs=16,S1,5,1,0.7005,0.407,0.6988,0.8495,0.8452,0.8481,0.8457,0.8498,False
5,lb=2e-05_lc=1e-04_bs=16,S1,5,2,0.3888,0.4011,0.8586,0.8561,0.8514,0.8536,0.8523,0.8566,True
5,lb=2e-05_lc=1e-04_bs=16,S1,5,3,0.2306,0.4814,0.9277,0.8504,0.8477,0.8502,0.8481,0.8514,False
5,lb=2e-05_lc=1e-04_bs=16,S1,5,4,0.1342,0.6814,0.9621,0.8542,0.853,0.8487,0.8494,0.8531,False
5,lb=2e-05_lc=1e-04_bs=16,S1,5,5,0.0607,1.0042,0.985,0.8288,0.8267,0.8238,0.8243,0.8292,False
6,lb=2e-05_lc=1e-04_bs=32,S1,1,1,0.7522,0.4481,0.6703,0.8327,0.8319,0.8234,0.8239,0.8297,False
6,lb=2e-05_lc=1e-04_bs=32,S1,1,2,0.4102,0.3853,0.8422,0.8647,0.8627,0.8607,0.8599,0.8641,True
6,lb=2e-05_lc=1e-04_bs=32,S1,1,3,0.2498,0.4476,0.9148,0.8562,0.8558,0.8491,0.851,0.8548,False
6,lb=2e-05_lc=1e-04_bs=32,S1,1,4,0.1373,0.5365,0.958,0.8487,0.8482,0.8409,0.8434,0.8474,False
6,lb=2e-05_lc=1e-04_bs=32,S1,1,5,0.0703,0.689,0.9797,0.8571,0.8552,0.8515,0.853,0.8566,False
6,lb=2e-05_lc=1e-04_bs=32,S1,2,1,0.7267,0.4631,0.6843,0.8307,0.8294,0.8251,0.8263,0.8295,False
6,lb=2e-05_lc=1e-04_bs=32,S1,2,2,0.3817,0.4205,0.8596,0.842,0.8388,0.8412,0.8394,0.8413,True
6,lb=2e-05_lc=1e-04_bs=32,S1,2,3,0.2306,0.5164,0.9221,0.8363,0.8353,0.8357,0.8348,0.8372,False
6,lb=2e-05_lc=1e-04_bs=32,S1,2,4,0.121,0.6741,0.9626,0.8344,0.831,0.8349,0.8324,0.8345,False
6,lb=2e-05_lc=1e-04_bs=32,S1,2,5,0.0715,0.8599,0.9807,0.8278,0.8258,0.8263,0.8259,0.8282,False
6,lb=2e-05_lc=1e-04_bs=32,S1,3,1,0.7388,0.4409,0.6618,0.8269,0.8223,0.8241,0.823,0.8274,False
6,lb=2e-05_lc=1e-04_bs=32,S1,3,2,0.381,0.4078,0.8609,0.8495,0.8465,0.8508,0.8473,0.8505,True
6,lb=2e-05_lc=1e-04_bs=32,S1,3,3,0.2316,0.4486,0.9186,0.8532,0.8485,0.8498,0.8487,0.8529,False
6,lb=2e-05_lc=1e-04_bs=32,S1,3,4,0.1298,0.5708,0.9594,0.8467,0.8426,0.8413,0.8418,0.8468,False
6,lb=2e-05_lc=1e-04_bs=32,S1,3,5,0.0627,0.898,0.9792,0.8448,0.8458,0.8348,0.8364,0.8414,False
